id,RX_SENSITIVITY_DBM,RSSI_INFLECTION_POINT,TRANSMITTING_RANGE,PATH_LOSS_EXPONENT,AWGN_SIGMA,mean_rssi_dbm,loss_rate_pct,throughput_pkt_s,mean_delay_s
220,-100,-60.0,55.0,2.5,4.0,-57.8133,37.25,50.21,0.402
225,-100,-60.0,55.0,3.0,1.0,-47.9867,20.04,63.98,0.1463
222,-100,-60.0,55.0,2.5,7.0,-55.52,28.11,57.51,0.3849
227,-100,-60.0,55.0,3.0,4.0,-47.5733,20.03,63.98,0.1356
221,-100,-60.0,55.0,2.5,5.5,-58.9167,41.4,46.88,0.5824
224,-100,-60.0,55.0,2.5,10.0,-55.0267,26.84,58.54,0.376
226,-100,-60.0,55.0,3.0,2.5,-51.46,21.35,62.92,0.228
228,-100,-60.0,55.0,3.0,5.5,-47.5067,21.65,62.69,0.2379
229,-100,-60.0,55.0,3.0,7.0,-48.5467,20.03,63.98,0.1768
230,-100,-60.0,55.0,3.0,8.5,-48.5067,20.1,63.93,0.2157
233,-100,-60.0,55.0,3.5,2.5,-40.9467,20.02,63.99,0.1442
232,-100,-60.0,55.0,3.5,1.0,-39.2,20.03,63.98,0.152
231,-100,-60.0,55.0,3.0,10.0,-46.9367,20.27,63.79,0.2319
234,-100,-60.0,55.0,3.5,4.0,-39.72,20.04,63.98,0.1572
235,-100,-60.0,55.0,3.5,5.5,-39.2067,20.02,63.99,0.1467
236,-100,-60.0,55.0,3.5,7.0,-44.5567,20.02,63.99,0.1779
238,-100,-60.0,55.0,3.5,10.0,-38.3,20.04,63.98,0.1674
237,-100,-60.0,55.0,3.5,8.5,-40.79,20.02,63.98,0.149
239,-100,-60.0,55.0,4.0,1.0,-36.2,20.03,63.99,0.156
240,-100,-60.0,55.0,4.0,2.5,-31.83,20.04,63.98,0.1479
241,-100,-60.0,55.0,4.0,4.0,-31.82,20.04,63.97,0.1315
242,-100,-60.0,55.0,4.0,5.5,-30.3433,20.04,63.98,0.151
246,-100,-55.0,25.0,2.0,1.0,,100.0,0.0,0.0
247,-100,-55.0,25.0,2.0,2.5,-68.1,99.99,0.01,1.2615
249,-100,-55.0,25.0,2.0,5.5,-69.8033,98.66,1.07,1.2756
248,-100,-55.0,25.0,2.0,4.0,-64.24,95.51,3.59,0.9761
